month,hats_sold
11-1-2005,141
12-1-2005,157
1-1-2006,185
2-1-2006,199
3-1-2006,203
4-1-2006,189
5-1-2006,207
6-1-2006,207
7-1-2006,171
8-1-2006,150
9-1-2006,138
10-1-2006,165
11-1-2006,145
12-1-2006,168
1-1-2007,197
2-1-2007,208
3-1-2007,210
4-1-2007,209
5-1-2007,238
6-1-2007,238
7-1-2007,199
8-1-2007,168
9-1-2007,152
10-1-2007,196
11-1-2007,183
12-1-2007,200
1-1-2008,249
2-1-2008,251
3-1-2008,289
4-1-2008,249
5-1-2008,279
6-1-2008,279
7-1-2008,232
8-1-2008,204
9-1-2008,194
10-1-2008,232
11-1-2008,215
12-1-2008,239
1-1-2009,270
2-1-2009,279
3-1-2009,307
4-1-2009,305
5-1-2009,322
6-1-2009,339
7-1-2009,263
8-1-2009,241
9-1-2009,229
10-1-2009,272
11-1-2009,247
12-1-2009,261
1-1-2010,330
2-1-2010,362
3-1-2010,385
4-1-2010,340
5-1-2010,370
6-1-2010,381
7-1-2010,299
8-1-2010,266
9-1-2010,239
10-1-2010,281
11-1-2010,257
12-1-2010,250
1-1-2011,329
2-1-2011,350
3-1-2011,393
4-1-2011,370
5-1-2011,423
6-1-2011,410
7-1-2011,326
8-1-2011,289
9-1-2011,270
10-1-2011,321
11-1-2011,305
12-1-2011,310
1-1-2012,374
2-1-2012,414
3-1-2012,454
4-1-2012,441
5-1-2012,510
6-1-2012,486
7-1-2012,393
8-1-2012,345
9-1-2012,315
10-1-2012,389
11-1-2012,358
12-1-2012,368
1-1-2013,444
2-1-2013,482
3-1-2013,534
4-1-2013,524
5-1-2013,578
6-1-2013,567
7-1-2013,447
8-1-2013,386
9-1-2013,360
10-1-2013,428
11-1-2013,397
12-1-2013,400
1-1-2014,498
2-1-2014,536
3-1-2014,596
4-1-2014,591
5-1-2014,651
6-1-2014,654
7-1-2014,509
8-1-2014,437
9-1-2014,406
10-1-2014,470
11-1-2014,428
12-1-2014,423
1-1-2015,507
2-1-2015,536
3-1-2015,610
4-1-2015,609
5-1-2015,687
6-1-2015,707
7-1-2015,509
8-1-2015,452
9-1-2015,412
10-1-2015,472
11-1-2015,454
12-1-2015,455
1-1-2016,568
2-1-2016,610
3-1-2016,706
4-1-2016,661
5-1-2016,767
6-1-2016,783
7-1-2016,583
8-1-2016,513
9-1-2016,481
10-1-2016,567
11-1-2016,525
12-1-2016,520
1-1-2017,587
2-1-2017,710
3-1-2017,793
4-1-2017,749
5-1-2017,871
6-1-2017,848
7-1-2017,640
8-1-2017,581
9-1-2017,519
10-1-2017,605